Run_ID,Timestamp,SV_ID,Property_Name,BHK,Property_Type,City,Primary_USP,OTA_Platform,Valid_Listing_URL,Old_Name,Old_Length,New_Name,New_Length,Limit,Length_Status,Change_Rationale,Sync_Status,Backend_Updated_At
RUN_002,2026-09-21 12:56:31,75,Princess,3BHK,Villa,Lonavala,Infinity Pool,Agoda,None,StayVista's Princess - A Villa with Infinity Pool & Breathtaking Views,70,3-Bedroom Princess Villa in Lonavala,36,50,Fixed Truncation (70 -> 36 chars),Fixed overflow: old was 70/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,75,Princess,3BHK,Villa,Lonavala,Infinity Pool,Airbnb,None,3BR |Pool+Lawn|StayVista| Princess Villa@Lonavala,49,3BHK Princess • Infinity Pool & Lawn,36,44,Fixed Truncation (49 -> 36 chars),"Fixed overflow: old was 49/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Removed redundant brand on Airbnb (prioritizes top USP)",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,75,Princess,3BHK,Villa,Lonavala,Infinity Pool,Booking.com,None,StayVista's Princess - A Villa with Infinity Pool & Breathtaking Views,70,Princess Villa - 3BHK with Infinity Pool,40,50,Fixed Truncation (70 -> 40 chars),Fixed overflow: old was 70/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,75,Princess,3BHK,Villa,Lonavala,Infinity Pool,MakeMyTrip,None,StayVista | Villa Princess,26,3BHK Princess Villa • Infinity Pool • Lonavala,46,50,Within Limit (46/50 chars),"Removed non-compliant symbols ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,57,Santoni Farms,3BHK,Villa,Karjat,Pool,Agoda,None,"StayVista's Santoni Farms - Riverside Bliss with Pool, Orchard & Activities",75,"3-Bedroom Santoni Farms Villa, Karjat w/ Pool",45,50,Fixed Truncation (75 -> 45 chars),Fixed overflow: old was 75/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,57,Santoni Farms,3BHK,Villa,Karjat,Pool,Airbnb,None,StayVista at Santoni Farms - 3 BR,33,3BHK Santoni Farms • Pool & River View,38,44,Within Limit (38/44 chars),Removed redundant brand on Airbnb (prioritizes top USP),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,57,Santoni Farms,3BHK,Villa,Karjat,Pool,Booking.com,None,"StayVista's Santoni Farms - Riverside Bliss with Pool, Orchard & Activities",75,Santoni Farms Villa by StayVista - 3BHK w/ Pool,47,50,Fixed Truncation (75 -> 47 chars),Fixed overflow: old was 75/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,57,Santoni Farms,3BHK,Villa,Karjat,Pool,MakeMyTrip,None,StayVista | Santoni Farms Pool Villa,36,3BHK Santoni Farms Villa • Pool • Karjat,40,50,Within Limit (40/50 chars),"Removed non-compliant symbols ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,29,Serene,3BHK,Villa,Karjat,Plunge Pool,Agoda,None,Serene Villa by StayVista - A Hill-View Villa with Plunge pool,62,"3-Bedroom Serene Villa, Karjat w/ Plunge Pool",45,50,Fixed Truncation (62 -> 45 chars),Fixed overflow: old was 62/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,29,Serene,3BHK,Villa,Karjat,Plunge Pool,Airbnb,None,StayVista at Serene w/ Pool - Karjat,36,3BHK Serene Villa w/ Plunge Pool,32,44,Within Limit (32/44 chars),Removed redundant brand on Airbnb (prioritizes top USP),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,29,Serene,3BHK,Villa,Karjat,Plunge Pool,Booking.com,None,Serene Villa by StayVista - A Hill-View Villa with Plunge pool,62,Serene Villa by StayVista - 3BHK w/ Plunge Pool,47,50,Fixed Truncation (62 -> 47 chars),Fixed overflow: old was 62/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,29,Serene,3BHK,Villa,Karjat,Plunge Pool,MakeMyTrip,None,StayVista | Vista Serene 3 BHK Villa,36,3BHK Serene Villa • Plunge Pool • Karjat,40,50,Within Limit (40/50 chars),"Removed non-compliant symbols ('|', '@', '+')",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,125,La Petite Maison,3BHK,Villa,Lonavala,Mountain View,Agoda,None,StayVista at La Petite Maison,29,3-Bedroom La Petite Maison Villa in Lonavala,44,50,Within Limit (44/50 chars),Standardized structure: Size + Name + USP + Location,Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,125,La Petite Maison,3BHK,Villa,Lonavala,Mountain View,Airbnb,None,3BR Mountain View | StayVista La Petite | Lonavala,50,3BHK La Petite Maison Villa w/ Mountain View,44,44,Fixed Truncation (50 -> 44 chars),"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Removed redundant brand on Airbnb (prioritizes top USP)",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,125,La Petite Maison,3BHK,Villa,Lonavala,Mountain View,Booking.com,None,"La Petite Maison Villa by VEO, StayVista - 3BHK with Valley View & Lawn",71,La Petite Maison Villa - 3BHK with Mountain View,48,50,Fixed Truncation (71 -> 48 chars),Fixed overflow: old was 71/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,125,La Petite Maison,3BHK,Villa,Lonavala,Mountain View,MakeMyTrip,None,StayVista | La Petite Maison 3 BHK Villa,40,3BHK La Petite Maison • Mountain View • Lonavala,48,50,Within Limit (48/50 chars),"Removed non-compliant symbols ('|', '@', '+')",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,121,Stone  Bezze,2BHK,House,Nashik,Mountain View,Agoda,None,Stone House Bezze by StayVista with Lake view & Lawn - your perfect getaway,75,2-Bedroom Stone  Bezze House in Nashik,38,50,Fixed Truncation (75 -> 38 chars),Fixed overflow: old was 75/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,121,Stone  Bezze,2BHK,House,Nashik,Mountain View,Airbnb,None,2BR StayVista Stone House Bezze@Nashik,38,2BHK Stone  Bezze House w/ Mountain View,40,44,Within Limit (40/44 chars),"Removed non-compliant symbols ('|', '@', '+'); Removed redundant brand on Airbnb (prioritizes top USP)",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,121,Stone  Bezze,2BHK,House,Nashik,Mountain View,Booking.com,None,"The Stone House in Beze by VEO, StayVista - 2BHK with Mountain View & Bonfire",77,Stone  Bezze House - 2BHK with Mountain View,44,50,Fixed Truncation (77 -> 44 chars),Fixed overflow: old was 77/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,121,Stone  Bezze,2BHK,House,Nashik,Mountain View,MakeMyTrip,None,StayVista | The Stone House In Beze,35,2BHK Stone  Bezze House • Mountain View • Nashik,48,50,Within Limit (48/50 chars),"Removed non-compliant symbols ('|', '@', '+'); Added prominent BHK prefix for domestic filter matching",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,150,Moksh,4BHK,Villa,India,Jacuzzi,Agoda,None,StayVista at Moksh Villa - BBQ & Jacuzzi,40,"4-Bedroom Moksh Villa, India w/ Jacuzzi",39,50,Within Limit (39/50 chars),Standardized structure: Size + Name + USP + Location,Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,150,Moksh,4BHK,Villa,India,Jacuzzi,Airbnb,None,StayVista at Moksh Villa - 4BR -Jacuzzi & TT Table,50,4BHK Moksh • Jacuzzi & BBQ,26,44,Fixed Truncation (50 -> 26 chars),Fixed overflow: old was 50/44 chars (truncated in search cards); Removed redundant brand on Airbnb (prioritizes top USP),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,150,Moksh,4BHK,Villa,India,Jacuzzi,Booking.com,None,StayVista's Moksh Villa - 4BHK with Pickle Ball & Sauna,55,Moksh Villa by StayVista - 4BHK w/ Jacuzzi,42,50,Fixed Truncation (55 -> 42 chars),Fixed overflow: old was 55/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,150,Moksh,4BHK,Villa,India,Jacuzzi,MakeMyTrip,None,StayVista | Moksh 4 BHK Villa,29,4BHK Moksh Villa • Jacuzzi • India,34,50,Within Limit (34/50 chars),"Removed non-compliant symbols ('|', '@', '+')",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,107,EL,4BHK,Villa,Lonavala,Pool,Agoda,None,El House by StayVista - Unwind in a Villa w/ Pool,49,"4-Bedroom EL Villa, Lonavala w/ Pool",36,50,Within Limit (36/50 chars),Standardized structure: Size + Name + USP + Location,Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,107,EL,4BHK,Villa,Lonavala,Pool,Airbnb,None,4bhk- Pvt Pool+Lawn-El House @Lonavala,38,4BHK EL • Pool & Lawn,21,44,Within Limit (21/44 chars),"Removed non-compliant symbols ('|', '@', '+')",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,107,EL,4BHK,Villa,Lonavala,Pool,Booking.com,None,El House by StayVista - Unwind in a Villa with Pool and Lush Lawn,65,EL Villa by StayVista - 4BHK w/ Pool,36,50,Fixed Truncation (65 -> 36 chars),Fixed overflow: old was 65/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,107,EL,4BHK,Villa,Lonavala,Pool,MakeMyTrip,None,StayVista | EL House 4 BHK Villa,32,4BHK EL Villa • Pool • Lonavala,31,50,Within Limit (31/50 chars),"Removed non-compliant symbols ('|', '@', '+')",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,142,Retreat on Cloud 9 Homestay,2BHK,Villa,Lonavala,Orchard,Agoda,None,Cosy Homestay by StayVista - A Tranquil Retreat on Cloud 9,58,2-Bedroom Villa in Lonavala w/ Orchard,38,50,Fixed Truncation (58 -> 38 chars),Fixed overflow: old was 58/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,142,Retreat on Cloud 9 Homestay,2BHK,Villa,Lonavala,Orchard,Airbnb,None,Retreat on Cloud 9 Homestay with Vintage rooms,46,2BHK Retreat on Cloud 9 Homestay w/ Orchard,43,44,Fixed Truncation (46 -> 43 chars),Fixed overflow: old was 46/44 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,142,Retreat on Cloud 9 Homestay,2BHK,Villa,Lonavala,Orchard,Booking.com,None,StayVista's Retreat on Cloud 9 Homestay - 2BHK Mountain-View Homestay with Orchard,82,Retreat on Cloud 9 Homestay by StayVista - 2BHK Or,50,50,Fixed Truncation (82 -> 50 chars),Fixed overflow: old was 82/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,142,Retreat on Cloud 9 Homestay,2BHK,Villa,Lonavala,Orchard,MakeMyTrip,None,StayVista | 2 BHK Retreat On Cloud 9 Villa,42,2BHK Villa • Orchard • Lonavala,31,50,Within Limit (31/50 chars),"Removed non-compliant symbols ('|', '@', '+')",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,462,Casa del Verde,4BHK,Villa,Alibaug,Private Pool,Agoda,None,StayVista at Casa del Verde,27,4-Bedroom Casa del Verde Villa in Alibaug,41,50,Within Limit (41/50 chars),Standardized structure: Size + Name + USP + Location,Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,462,Casa del Verde,4BHK,Villa,Alibaug,Private Pool,Airbnb,None,"4BR- @Casa Del Verde, w/pool, lawn &bonfire",43,4BHK Casa del Verde • Private Pool & Lawn,41,44,Within Limit (41/44 chars),"Removed non-compliant symbols ('|', '@', '+')",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,462,Casa del Verde,4BHK,Villa,Alibaug,Private Pool,Booking.com,None,StayVista's Casa Del Verde - 4BHK Mountain-View Villa with Private Pool,71,Casa del Verde Villa - 4BHK with Private Pool,45,50,Fixed Truncation (71 -> 45 chars),Fixed overflow: old was 71/50 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,462,Casa del Verde,4BHK,Villa,Alibaug,Private Pool,MakeMyTrip,None,StayVista | Casa Del Verde 4 BHK Villa,38,4BHK Casa del Verde Villa • Private Pool • Alibaug,50,50,Within Limit (50/50 chars),"Removed non-compliant symbols ('|', '@', '+')",Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,166,Le Sutra Great Escapes,3BHK,Villa,Lonavala,Pool,Agoda,None,StayVista's Le Sutra Great Escapes - Geometrica,47,3-Bedroom Le Sutra Great Escapes Villa in Lonavala,50,50,Within Limit (50/50 chars),Standardized structure: Size + Name + USP + Location,Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,166,Le Sutra Great Escapes,3BHK,Villa,Lonavala,Pool,Airbnb,None,"Le Sutra Geometrica- 3BR Luxe Pool Villa, Lonavala",50,3BHK Le Sutra Great Escapes Villa w/ Pool,41,44,Fixed Truncation (50 -> 41 chars),Fixed overflow: old was 50/44 chars (truncated in search cards),Pending Backend Sync,
RUN_002,2026-09-21 12:56:31,166,Le Sutra Great Escapes,3BHK,Villa,Lonavala,Pool,Booking.com,None,StayVista's Le Sutra Great Escapes - Geometrica - 3BHK Villa with Bar,69,Le Sutra Great Escapes Villa - 3BHK with Pool,45,50,Fixed Truncation (69 -> 45 chars),Fixed overflow: old was 69/50 chars (truncated in search cards),Pending Backend Sync,
