Listing_ID,SV_ID,Property_Name,OTA_Platform,Old_Name,New_Name,Valid_Listing_URL,Sync_Status,Rationale
1759385758485191125,Not Found,Shilayvas,Airbnb,"StayVista at Shilayvas w/ Bonfire, Mountain View",3BHK Shilayvas • Mountain View & Bonfire,https://www.airbnb.co.in/rooms/1759385758485191125,Ready for Automation Sync,Fixed overflow: old was 48/44 chars (truncated in search cards); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)
1470062497604605390,4760,Residences,Airbnb,Comfort Room at StayVista Residences W/Airpurifier,3BHK Residences Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1470062497604605390,Ready for Automation Sync,Fixed overflow: old was 50/44 chars (truncated in search cards); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)
1725355603760592261,5602,Deluxe Rooms @ SOVA at Baner Balewadi,Airbnb,Deluxe Rooms @ SOVA at Baner Balewadi,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1725355603760592261,Ready for Automation Sync,"Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1725363785350363804,5601,Executive Rooms @ SOVA at Baner Balewadi,Airbnb,Executive Rooms @ SOVA at Baner Balewadi,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1725363785350363804,Ready for Automation Sync,"Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1759150618310447918,Not Found,"Deluxe Rooms @ SOVA at Nivaasa, Part of",Airbnb,"Deluxe Rooms @ SOVA at Nivaasa, Part of StayVista",3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1759150618310447918,Ready for Automation Sync,"Fixed overflow: old was 49/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1701282618801737351,5737,1BR Classic Apartment with Shared Pool @ Calangute,Airbnb,1BR Classic Apartment with Shared Pool @ Calangute,1BHK Villa w/ Pool,https://www.airbnb.co.in/rooms/1701282618801737351,Ready for Automation Sync,"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1759143482180257906,Not Found,"Comfort Rooms @ SOVA at Nivaasa, Part of",Airbnb,"Comfort Rooms @ SOVA at Nivaasa, Part of StayVista",3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1759143482180257906,Ready for Automation Sync,"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1470069009156955862,4759,Executive Room w/Balcony @DLF Residences @Cyberhub,Airbnb,Executive Room w/Balcony @DLF Residences @Cyberhub,3BHK Villa w/ Balcony,https://www.airbnb.co.in/rooms/1470069009156955862,Ready for Automation Sync,"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1749112574685765549,Not Found,Comfort Room @ Vaana by the Sea,Airbnb,Comfort Room @ Vaana by the Sea,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1749112574685765549,Ready for Automation Sync,"Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1761498357654606772,Not Found,Santorini Signature Rooms @ Aaradhyam Resort & Spa,Airbnb,Santorini Signature Rooms @ Aaradhyam Resort & Spa,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1761498357654606772,Ready for Automation Sync,"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1759146854735281035,Not Found,"Superior Rooms@ SOVA at Nivaasa, Part of",Airbnb,"Superior Rooms@ SOVA at Nivaasa, Part of StayVista",3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1759146854735281035,Ready for Automation Sync,"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1757867426115150171,Not Found,Orchid Suite W/Pantry@ Dreamation Resorts By Vaana,Airbnb,Orchid Suite W/Pantry@ Dreamation Resorts By Vaana,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1757867426115150171,Ready for Automation Sync,"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1749115644001608569,Not Found,Club Sea View Room @ Vaana by the Sea,Airbnb,Club Sea View Room @ Vaana by the Sea,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1749115644001608569,Ready for Automation Sync,"Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1757864313029078070,Not Found,Acorn Luxury Cottages @Dreamation Resorts By Vaana,Airbnb,Acorn Luxury Cottages @Dreamation Resorts By Vaana,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1757864313029078070,Ready for Automation Sync,"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1757248953998108052,Not Found,Fern Luxury Swiss Tent@Dreamation Resorts by Vaana,Airbnb,Fern Luxury Swiss Tent@Dreamation Resorts by Vaana,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1757248953998108052,Ready for Automation Sync,"Fixed overflow: old was 50/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
1725331631689864736,5697,Standard Rooms @ SOVA at Baner Balewadi,Airbnb,Standard Rooms @ SOVA at Baner Balewadi,3BHK Villa w/ Private Pool,https://www.airbnb.co.in/rooms/1725331631689864736,Ready for Automation Sync,"Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)"
