Run_ID,Timestamp,SV_ID,Property_Name,BHK,Property_Type,City,Primary_USP,OTA_Platform,Valid_Listing_URL,Old_Name,Old_Length,New_Name,New_Length,Limit,Length_Status,Change_Rationale,Sync_Status,Backend_Updated_At
RUN_021,2026-09-22 10:50:26,75,Princess,3BHK,Villa,Lonavala,Infinity Pool,Agoda,https://www.agoda.com/en-in/princess-villa-by-vista-rooms/hotel/pune-in.html,StayVista's Princess - A Villa with Infinity Pool & Breathtaking Views,70,StayVista - 3-Bedroom Princess in Lonavala,42,50,Fixed Truncation (70 -> 42 chars),Fixed overflow: old was 70/50 chars (truncated in search cards); Added verified StayVista brand name for distribution trust,Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,75,Princess,3BHK,Villa,Lonavala,Infinity Pool,Airbnb,https://www.airbnb.co.in/rooms/1217140775649212419,3BR |Pool+Lawn|StayVista| Princess Villa@Lonavala,49,3BHK Princess • Infinity Pool & Lawn,36,44,Fixed Truncation (49 -> 36 chars),"Fixed overflow: old was 49/44 chars (truncated in search cards); Removed non-compliant symbols ('|', '@', '+'); Excluded brand name on Airbnb (strictly complies with Airbnb guidelines)",Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,75,Princess,3BHK,Villa,Lonavala,Infinity Pool,Booking.com,https://www.booking.com/hotel/in/princess-villa-lonavala.html,StayVista's Princess - A Villa with Infinity Pool & Breathtaking Views,70,Princess by StayVista - 3BHK w/ Infinity Pool,45,50,Fixed Truncation (70 -> 45 chars),Fixed overflow: old was 70/50 chars (truncated in search cards); Added verified StayVista brand name for distribution trust,Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,75,Princess,3BHK,Villa,Lonavala,Infinity Pool,MakeMyTrip,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201901091614188386&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey,StayVista | Villa Princess,26,StayVista | 3BHK Princess • Lonavala,36,50,Within Limit (36/50 chars),"Removed non-compliant symbols ('|', '@', '+'); Added verified StayVista brand name for distribution trust; Added prominent BHK prefix for domestic filter matching",Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,57,Santoni Farms,3BHK,Villa,Karjat,Pool,Agoda,https://www.agoda.com/en-in/santoni-farms/hotel/karjat-in.html,"StayVista's Santoni Farms - Riverside Bliss with Pool, Orchard & Activities",75,"StayVista - 3-Bed Santoni Farms, Karjat w/ Pool",47,50,Fixed Truncation (75 -> 47 chars),Fixed overflow: old was 75/50 chars (truncated in search cards); Added verified StayVista brand name for distribution trust,Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,57,Santoni Farms,3BHK,Villa,Karjat,Pool,Airbnb,https://www.airbnb.co.in/rooms/17819849,StayVista at Santoni Farms - 3 BR,33,3BHK Santoni Farms • Pool & River View,38,44,Within Limit (38/44 chars),Excluded brand name on Airbnb (strictly complies with Airbnb guidelines),Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,57,Santoni Farms,3BHK,Villa,Karjat,Pool,Booking.com,https://www.booking.com/hotel/in/santoni-farms-karjat.html,"StayVista's Santoni Farms - Riverside Bliss with Pool, Orchard & Activities",75,Santoni Farms by StayVista - 3BHK w/ Pool,41,50,Fixed Truncation (75 -> 41 chars),Fixed overflow: old was 75/50 chars (truncated in search cards); Added verified StayVista brand name for distribution trust,Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,57,Santoni Farms,3BHK,Villa,Karjat,Pool,MakeMyTrip,https://www.makemytrip.com/hotels/hotel-details/?hotelId=201812311710071317&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey,StayVista | Santoni Farms Pool Villa,36,StayVista | 3BHK Santoni Farms • Pool • Karjat,46,50,Within Limit (46/50 chars),"Removed non-compliant symbols ('|', '@', '+'); Added verified StayVista brand name for distribution trust; Added prominent BHK prefix for domestic filter matching",Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,29,Serene,3BHK,Villa,Karjat,Plunge Pool,Agoda,https://www.agoda.com/en-in/serene-by-vista-rooms/hotel/karjat-in.html,Serene Villa by StayVista - A Hill-View Villa with Plunge pool,62,"StayVista - 3-Bed Serene, Karjat w/ Plunge Pool",47,50,Fixed Truncation (62 -> 47 chars),Fixed overflow: old was 62/50 chars (truncated in search cards); Added verified StayVista brand name for distribution trust,Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,29,Serene,3BHK,Villa,Karjat,Plunge Pool,Airbnb,https://www.airbnb.co.in/rooms/1588364350289160966,StayVista at Serene w/ Pool - Karjat,36,3BHK Serene Villa w/ Plunge Pool,32,44,Within Limit (32/44 chars),Excluded brand name on Airbnb (strictly complies with Airbnb guidelines),Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,29,Serene,3BHK,Villa,Karjat,Plunge Pool,Booking.com,https://www.booking.com/hotel/in/3bhk-villa-in-karjat.html,Serene Villa by StayVista - A Hill-View Villa with Plunge pool,62,Serene by StayVista - 3BHK w/ Plunge Pool,41,50,Fixed Truncation (62 -> 41 chars),Fixed overflow: old was 62/50 chars (truncated in search cards); Added verified StayVista brand name for distribution trust,Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,29,Serene,3BHK,Villa,Karjat,Plunge Pool,MakeMyTrip,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202104011946227630&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey,StayVista | Vista Serene 3 BHK Villa,36,StayVista | 3BHK Serene • Plunge Pool • Karjat,46,50,Within Limit (46/50 chars),"Removed non-compliant symbols ('|', '@', '+'); Added verified StayVista brand name for distribution trust",Pending Backend Sync,
RUN_021,2026-09-22 10:50:26,125,La Petite Maison,3BHK,Villa,Lonavala,Mountain View,Agoda,https://www.agoda.com/en-in/la-petite-maison/hotel/lonavala-in.html,StayVista at La Petite Maison,29,StayVista - 3-Bedroom La Petite Maison in Lonavala,50,50,Within Limit (50/50 chars),Added verified StayVista brand name for distribution trust,Pending Backend Sync,
